fname,label
Chorus_0.wav,Chorus
Chorus_1.wav,Chorus
Chorus_2.wav,Chorus
Chorus_3.wav,Chorus
Chorus_4.wav,Chorus
Chorus_5.wav,Chorus
Chorus_6.wav,Chorus
Chorus_7.wav,Chorus
Chorus_8.wav,Chorus
Chorus_9.wav,Chorus
Chorus_10.wav,Chorus
Chorus_11.wav,Chorus
Chorus_12.wav,Chorus
Chorus_13.wav,Chorus
Chorus_14.wav,Chorus
Chorus_15.wav,Chorus
Chorus_16.wav,Chorus
Chorus_17.wav,Chorus
Chorus_18.wav,Chorus
Chorus_19.wav,Chorus
Chorus_20.wav,Chorus
Chorus_21.wav,Chorus
Chorus_22.wav,Chorus
Chorus_23.wav,Chorus
Chorus_24.wav,Chorus
Chorus_25.wav,Chorus
Chorus_26.wav,Chorus
Chorus_27.wav,Chorus
Chorus_28.wav,Chorus
Chorus_29.wav,Chorus
Chorus_30.wav,Chorus
Nickel-Power_0.wav,Nickel-Power
Nickel-Power_1.wav,Nickel-Power
Nickel-Power_2.wav,Nickel-Power
Nickel-Power_3.wav,Nickel-Power
Nickel-Power_4.wav,Nickel-Power
Nickel-Power_5.wav,Nickel-Power
Nickel-Power_6.wav,Nickel-Power
Nickel-Power_7.wav,Nickel-Power
Nickel-Power_8.wav,Nickel-Power
Nickel-Power_9.wav,Nickel-Power
Nickel-Power_10.wav,Nickel-Power
Nickel-Power_11.wav,Nickel-Power
Nickel-Power_12.wav,Nickel-Power
Nickel-Power_13.wav,Nickel-Power
Nickel-Power_14.wav,Nickel-Power
Nickel-Power_15.wav,Nickel-Power
Nickel-Power_16.wav,Nickel-Power
Nickel-Power_17.wav,Nickel-Power
Nickel-Power_18.wav,Nickel-Power
Nickel-Power_19.wav,Nickel-Power
Nickel-Power_20.wav,Nickel-Power
Nickel-Power_21.wav,Nickel-Power
Nickel-Power_22.wav,Nickel-Power
Nickel-Power_23.wav,Nickel-Power
Nickel-Power_24.wav,Nickel-Power
Nickel-Power_25.wav,Nickel-Power
Nickel-Power_26.wav,Nickel-Power
Nickel-Power_27.wav,Nickel-Power
Nickel-Power_28.wav,Nickel-Power
Nickel-Power_29.wav,Nickel-Power
Nickel-Power_30.wav,Nickel-Power
Phaser_0.wav,Phaser_
Phaser_1.wav,Phaser_
Phaser_2.wav,Phaser_
Phaser_3.wav,Phaser_
Phaser_4.wav,Phaser_
Phaser_5.wav,Phaser_
Phaser_6.wav,Phaser_
Phaser_7.wav,Phaser_
Phaser_8.wav,Phaser_
Phaser_9.wav,Phaser_
Phaser_10.wav,Phaser_
Phaser_11.wav,Phaser_
Phaser_12.wav,Phaser_
Phaser_13.wav,Phaser_
Phaser_14.wav,Phaser_
Phaser_15.wav,Phaser_
Phaser_16.wav,Phaser_
Phaser_17.wav,Phaser_
Phaser_18.wav,Phaser_
Phaser_19.wav,Phaser_
Phaser_20.wav,Phaser_
Phaser_21.wav,Phaser_
Phaser_22.wav,Phaser_
Phaser_23.wav,Phaser_
Phaser_24.wav,Phaser_
Phaser_25.wav,Phaser_
Phaser_26.wav,Phaser_
Phaser_27.wav,Phaser_
Phaser_28.wav,Phaser_
Phaser_29.wav,Phaser_
Phaser_30.wav,Phaser_
Reverb_0.wav,Reverb
Reverb_1.wav,Reverb
Reverb_2.wav,Reverb
Reverb_3.wav,Reverb
Reverb_4.wav,Reverb
Reverb_5.wav,Reverb
Reverb_6.wav,Reverb
Reverb_7.wav,Reverb
Reverb_8.wav,Reverb
Reverb_9.wav,Reverb
Reverb_10.wav,Reverb
Reverb_11.wav,Reverb
Reverb_12.wav,Reverb
Reverb_13.wav,Reverb
Reverb_14.wav,Reverb
Reverb_15.wav,Reverb
Reverb_16.wav,Reverb
Reverb_17.wav,Reverb
Reverb_18.wav,Reverb
Reverb_19.wav,Reverb
Reverb_20.wav,Reverb
Reverb_21.wav,Reverb
Reverb_22.wav,Reverb
Reverb_23.wav,Reverb
Reverb_24.wav,Reverb
Reverb_25.wav,Reverb
Reverb_26.wav,Reverb
Reverb_27.wav,Reverb
Reverb_28.wav,Reverb
Reverb_29.wav,Reverb
Reverb_30.wav,Reverb
